,S,delta
0,10,-0.9999999999976694
1,13,-1.0000000000004021
2,16,-0.9999999999976694
3,19,-0.9999999999995393
4,22,-1.000000000000899
5,25,-1.0000000000019327
6,28,-1.0000000000002072
7,31,-1.0000000000011073
8,34,-0.9999999999997592
9,37,-1.00000000000055
10,40,-0.9999999999994458
11,43,-1.000000000000148
12,46,-1.0000000000007587
13,49,-0.9999999999998446
14,52,-1.0000000000004021
15,55,-0.9999999999996072
16,58,-1.0000000000001195
17,61,-1.0000000000005813
18,64,-0.9999999999998899
19,67,-0.9721779982534958
20,70,-0.9217338496956273
21,73,-0.8866226686044433
22,76,-0.8312640937432161
23,79,-0.7925684892955898
24,82,-0.732261849944636
25,85,-0.6909579196504262
26,88,-0.628213079129989
27,91,-0.5863990920152129
28,94,-0.5246195671674021
29,97,-0.4845559948277493
30,100,-0.43631080607209327
31,103,-0.390394878668032
32,106,-0.3556977188292704
33,109,-0.30728779270542844
34,112,-0.2775537682780144
35,115,-0.23683664217730524
36,118,-0.2122635948403989
37,121,-0.17914685790453766
38,124,-0.15945893830145386
39,127,-0.133284487453813
40,130,-0.11792218576780818
41,133,-0.09773394582251055
42,136,-0.08601412585948487
43,139,-0.07076405641773513
44,142,-0.061993346147492134
45,145,-0.050676459019368944
46,148,-0.044219554851496576
47,151,-0.03594782298986879
48,154,-0.031260385547158175
49,157,-0.025292133861009508
50,160,-0.021929634675664847
