,S,option_value
0,10,90.0
1,13,87.0
2,16,84.0
3,19,81.0
4,22,78.0
5,25,75.0
6,28,72.0
7,31,69.0
8,34,66.0
9,37,63.0
10,40,60.0
11,43,57.0
12,46,54.0
13,49,51.0
14,52,48.0
15,55,45.0
16,58,42.0
17,61,39.0
18,64,36.0
19,67,33.03250313156532
20,70,30.182208080627323
21,73,27.462911963264947
22,76,24.874189688254535
23,79,22.430077847614022
24,82,20.128751717721766
25,85,17.98411843859627
26,88,15.989740611071113
27,91,14.157030486202121
28,94,12.474181382492425
29,97,10.949241634250676
30,100,9.565930393419581
31,103,8.32906386769569
32,106,7.220029716444731
33,109,6.239876897428559
34,112,5.370627528758152
35,115,4.610346738941179
36,118,3.9427760112669086
37,121,3.364221609503122
38,124,2.8607434105922365
39,127,2.4278750825962954
40,130,2.0541745248556986
41,133,1.7350949438991043
42,136,1.4615772844645532
43,139,1.2294167389963897
44,142,1.0316535515034542
45,145,0.86463713936584
46,148,0.7231541367626951
47,151,0.6041755756581013
48,154,0.5038790161676157
49,157,0.4198359751149285
50,160,0.3492944968223024
