,S,vega
0,10,0.0
1,13,0.0
2,16,0.0
3,19,0.0
4,22,0.0
5,25,0.0
6,28,0.0
7,31,0.0
8,34,0.0
9,37,0.0
10,40,0.0
11,43,0.0
12,46,0.0
13,49,0.0
14,52,0.0
15,55,0.0
16,58,0.0
17,61,0.0
18,64,0.0
19,67,3.3927767050556668
20,70,7.774691725188632
21,73,12.086896453027407
22,76,16.367804575523337
23,79,20.514696420477208
24,82,24.425769232934158
25,85,27.980710904813577
26,88,31.112314054588808
27,91,33.71433925963174
28,94,35.77132786315218
29,97,37.21473320521085
30,100,38.08802540344658
31,103,38.36772140424216
32,106,38.13869259737146
33,109,37.419132041360825
34,112,36.306726223980235
35,115,34.84647771813343
36,118,33.13001814619021
37,121,31.21231741906705
38,124,29.167680114827732
39,127,27.048450846463012
40,130,24.907599269878844
41,133,22.787616679389444
42,136,20.721241297270154
43,139,18.738468876997594
44,142,16.855611539998705
45,145,15.090625432787608
46,148,13.448021271316168
47,151,11.935816616126527
48,154,10.551009495072261
49,157,9.294333779078512
50,160,8.158693599735756
